t,echo_plus,echo_minus,echo_thermal
0.000000000000000000e+00,9.999999999999846789e-01,1.000000000000001776e+00,1.000000000000002665e+00
9.045226130653266639e-02,9.983494702104775964e-01,9.983481882042044564e-01,8.988432921401873221e-01
1.809045226130653328e-01,9.934111449664875249e-01,9.934060645572773129e-01,6.500746936125667563e-01
2.713567839195979992e-01,9.852244092329621727e-01,9.852131542529221075e-01,3.735900000354596684e-01
3.618090452261306655e-01,9.738536183683633718e-01,9.738340378721144219e-01,1.670459264996387860e-01
4.522613065326633319e-01,9.593863996586068366e-01,9.593566409518802240e-01,5.672132661185469438e-02
5.427135678391959983e-01,9.419316696896820051e-01,9.418902359665171087e-01,1.477969029165823733e-02
6.331658291457287202e-01,9.216176291971992507e-01,9.215634193533417395e-01,3.725067164643524383e-03
7.236180904522613311e-01,8.985899293673603738e-01,8.985222584759110509e-01,1.993037213712543776e-03
8.140703517587939420e-01,8.730100956949358171e-01,8.729286954473779447e-01,3.009786837071097738e-03
9.045226130653266639e-01,8.450541832910608564e-01,8.449591825622976282e-01,5.802323287480863623e-03
9.949748743718593857e-01,8.149115554143778750e-01,8.148034422850799485e-01,1.002009545221876907e-02
1.085427135678391997e+00,7.827836470959763648e-01,7.826632154427614063e-01,1.516685321899087155e-02
1.175879396984924607e+00,7.488826016513761008e-01,7.487508878679167701e-01,2.045686625360093602e-02
1.266331658291457440e+00,7.134297349602324312e-01,7.132879531462172906e-01,2.443194388727567071e-02
1.356783919597990051e+00,6.766538638701352637e-01,6.765033500502249941e-01,2.517454352714543209e-02
1.447236180904522662e+00,6.387896016535121735e-01,6.386317780331461913e-01,2.156120271957010989e-02
1.537688442211055273e+00,6.000757529620512898e-01,5.999121207123594424e-01,1.463559066704709505e-02
1.628140703517587884e+00,5.607539247096747781e-01,5.605860877491212202e-01,7.358867848003551766e-03
1.718592964824120717e+00,5.210674145780477273e-01,5.208971278849728881e-01,2.441653962564867449e-03
1.809045226130653328e+00,4.812603640446853626e-01,4.810895901590200308e-01,4.426110420769488940e-04
1.899497487437185939e+00,4.415770916561262416e-01,4.414080412571590450e-01,1.600286523560980349e-04
1.989949748743718771e+00,4.022614756234108024e-01,4.020966057005026517e-01,3.846277106675475036e-04
2.080402010050251160e+00,3.635562447248522067e-01,3.633981932342867371e-01,6.707581038870036316e-04
2.170854271356783993e+00,3.257020633021937006e-01,3.255535125386064266e-01,8.270628854696460011e-04
2.261306532663316826e+00,2.889363495498747381e-01,2.887998291793156813e-01,6.617717760817316656e-04
2.351758793969849215e+00,2.534918295581022885e-01,2.533694893026420258e-01,3.401088056739526191e-04
2.442211055276382048e+00,2.195948850447602685e-01,2.194882802095425023e-01,2.511811682413929371e-04
2.532663316582914881e+00,1.874637871309624837e-01,1.873737223595673962e-01,3.638218729592241794e-04
2.623115577889447270e+00,1.573069162970842372e-01,1.572333820668988802e-01,3.028599150636449152e-04
2.713567839195980103e+00,1.293210525202689587e-01,1.292632672060806120e-01,8.964886921377541193e-05
2.804020100502512491e+00,1.036897886109847677e-01,1.036463327594358275e-01,1.283650029171123203e-04
2.894472361809045324e+00,8.058208574463074370e-02,8.055109301576834913e-02,4.080385975680370981e-04
2.984924623115578157e+00,6.015096373763775123e-02,6.013032258663637830e-02,4.456608088929666723e-04
3.075376884422110546e+00,4.253230618143799546e-02,4.251983193542548806e-02,1.456165253447172687e-04
3.165829145728643379e+00,2.784376314907181446e-02,2.783732029388368695e-02,2.440614210181660766e-05
3.256281407035175768e+00,1.618374808097593903e-02,1.618133031605467967e-02,4.200648760285980734e-04
3.346733668341708601e+00,7.630544095337490028e-03,7.630344445945200747e-03,1.097218189029691053e-03
3.437185929648241434e+00,2.241551465644816155e-03,2.242065823923061838e-03,1.770795496846404651e-03
3.527638190954773822e+00,5.271718328670860871e-05,5.291539360724878811e-05,2.404202262586706100e-03
3.618090452261306655e+00,1.078186996770605149e-03,1.077756267524585193e-03,2.812466991034249901e-03
3.708542713567839488e+00,5.310210526431885167e-03,5.309834576361598460e-03,2.574952279441140076e-03
3.798994974874371877e+00,1.271931346359751226e-02,1.272091131597409726e-02,1.659563844993045987e-03
3.889447236180904710e+00,2.325473090628937117e-02,2.326155720058425622e-02,6.991433646722572870e-04
3.979899497487437543e+00,3.684507605463263613e-02,3.686159203152119396e-02,2.942784325061115224e-04
4.070351758793970376e+00,5.339920186517836675e-02,5.343066624910217804e-02,3.178055799496182199e-04
4.160804020100502321e+00,7.280720236943434565e-02,7.285899682646392039e-02,2.559860227659381537e-04
4.251256281407035154e+00,9.494149711286491156e-02,9.501827456024354579e-02,4.731485581491198762e-05
4.341708542713567986e+00,1.196579476169990497e-01,1.197627508679154629e-01,1.425315495468144618e-04
4.432160804020100819e+00,1.467969685844797700e-01,1.469304908026983214e-01,7.160539157924157745e-04
4.522613065326633652e+00,1.761846165223551475e-01,1.763447520054131634e-01,1.261396216883242834e-03
4.613065326633165597e+00,2.076336602869333914e-01,2.078154267720313253e-01,1.213396036347887856e-03
4.703517587939698430e+00,2.409446561139705900e-01,2.411404758941657067e-01,6.709839002080580494e-04
4.793969849246231263e+00,2.759070584820817462e-01,2.761072938002754329e-01,2.040239411510840221e-04
4.884422110552764096e+00,3.123003942621517814e-01,3.124939735664439833e-01,1.920616916378965755e-04
4.974874371859296929e+00,3.498955114479853634e-01,3.500704796434558341e-01,7.125044829869678917e-04
5.065326633165829762e+00,3.884558902279524051e-01,3.885997733488869010e-01,1.849517708615504774e-03
5.155778894472361706e+00,4.277389816581972926e-01,4.278389586861108818e-01,3.579297520175386219e-03
5.246231155778894539e+00,4.674975271831844914e-01,4.675405154308817646e-01,5.334496934362443522e-03
